x,y,z,num_drop,volume[ml],RoI
.000000,.000000,1.250000,0,.000000,.000000
.1000000,.000000,1.250000,0,.000000,.000000
.2000000,.000000,1.250000,0,.000000,.000000
.3000000,.000000,1.250000,0,.000000,.000000
.4000000,.000000,1.250000,0,.000000,.000000
.5000000,.000000,1.250000,0,.000000,.000000
.6000000,.000000,1.250000,0,.000000,.000000
.7000000,.000000,1.250000,0,.000000,.000000
.8000000,.000000,1.250000,0,.000000,.000000
.9000000,.000000,1.250000,0,.000000,.000000
1.000000,.000000,1.250000,0,.000000,.000000
1.100000,.000000,1.250000,0,.000000,.000000
1.200000,.000000,1.250000,0,.000000,.000000
1.300000,.000000,1.250000,0,.000000,.000000
1.400000,.000000,1.250000,0,.000000,.000000
1.500000,.000000,1.250000,0,.000000,.000000
1.600000,.000000,1.250000,0,.000000,.000000
1.700000,.000000,1.250000,0,.000000,.000000
1.800000,.000000,1.250000,2,.2450442E-09,.1633763E-03
1.900000,.000000,1.250000,0,.000000,.000000
2.000000,.000000,1.250000,0,.000000,.000000
2.100000,.000000,1.250000,0,.000000,.000000
2.200000,.000000,1.250000,0,.000000,.000000
2.300000,.000000,1.250000,0,.000000,.000000
2.400000,.000000,1.250000,0,.000000,.000000
2.500000,.000000,1.250000,1,.1795944E-09,.1197457E-03
2.600000,.000000,1.250000,2,.2450442E-09,.1633763E-03
2.700000,.000000,1.250000,3,.2184389E-07,.1445705E-01
2.800000,.000000,1.250000,3,.2184389E-07,.1445705E-01
2.900000,.000000,1.250000,2,.3834706E-09,.2555847E-03
3.000000,.000000,1.250000,3,.7651741E-09,.5099773E-03
3.100000,.000000,1.250000,3,.1285951E-06,.8215809E-01
3.200000,.000000,1.250000,0,.000000,.000000
3.300000,.000000,1.250000,0,.000000,.000000
3.400000,.000000,1.250000,1,.6544985E-10,.4363060E-04
3.500000,.000000,1.250000,0,.000000,.000000
3.600000,.000000,1.250000,1,.1413717E-10,.9417534E-05
3.700000,.000000,1.250000,2,.4471533E-09,.2980828E-03
3.800000,.000000,1.250000,0,.000000,.000000
3.900000,.000000,1.250000,3,.1278989E-06,.8173198E-01
4.000000,.000000,1.250000,5,.1282810E-06,.8196586E-01
4.100000,.000000,1.250000,2,.1282134E-06,.8192450E-01
4.200000,.000000,1.250000,0,.000000,.000000
4.300000,.000000,1.250000,0,.000000,.000000
4.400000,.000000,1.250000,0,.000000,.000000
4.500000,.000000,1.250000,0,.000000,.000000
4.600000,.000000,1.250000,0,.000000,.000000
4.700000,.000000,1.250000,0,.000000,.000000
4.800000,.000000,1.250000,0,.000000,.000000
4.900000,.000000,1.250000,0,.000000,.000000
5.000000,.000000,1.250000,0,.000000,.000000
