x,y,z,num_drop,volume[ml],RoI
.000000,.000000,1.250000,0,.000000,.000000
.1000000,.000000,1.250000,0,.000000,.000000
.2000000,.000000,1.250000,0,.000000,.000000
.3000000,.000000,1.250000,0,.000000,.000000
.4000000,.000000,1.250000,0,.000000,.000000
.5000000,.000000,1.250000,0,.000000,.000000
.6000000,.000000,1.250000,0,.000000,.000000
.7000000,.000000,1.250000,0,.000000,.000000
.8000000,.000000,1.250000,0,.000000,.000000
.9000000,.000000,1.250000,0,.000000,.000000
1.000000,.000000,1.250000,0,.000000,.000000
1.100000,.000000,1.250000,0,.000000,.000000
1.200000,.000000,1.250000,0,.000000,.000000
1.300000,.000000,1.250000,0,.000000,.000000
1.400000,.000000,1.250000,0,.000000,.000000
1.500000,.000000,1.250000,0,.000000,.000000
1.600000,.000000,1.250000,0,.000000,.000000
1.700000,.000000,1.250000,0,.000000,.000000
1.800000,.000000,1.250000,0,.000000,.000000
1.900000,.000000,1.250000,0,.000000,.000000
2.000000,.000000,1.250000,0,.000000,.000000
2.100000,.000000,1.250000,0,.000000,.000000
2.200000,.000000,1.250000,0,.000000,.000000
2.300000,.000000,1.250000,0,.000000,.000000
2.400000,.000000,1.250000,0,.000000,.000000
2.500000,.000000,1.250000,0,.000000,.000000
2.600000,.000000,1.250000,0,.000000,.000000
2.700000,.000000,1.250000,0,.000000,.000000
2.800000,.000000,1.250000,0,.000000,.000000
2.900000,.000000,1.250000,0,.000000,.000000
3.000000,.000000,1.250000,0,.000000,.000000
3.100000,.000000,1.250000,0,.000000,.000000
3.200000,.000000,1.250000,0,.000000,.000000
3.300000,.000000,1.250000,0,.000000,.000000
3.400000,.000000,1.250000,0,.000000,.000000
3.500000,.000000,1.250000,0,.000000,.000000
3.600000,.000000,1.250000,0,.000000,.000000
3.700000,.000000,1.250000,2,.7634070E-09,.5087852E-03
3.800000,.000000,1.250000,0,.000000,.000000
3.900000,.000000,1.250000,0,.000000,.000000
4.000000,.000000,1.250000,1,.3817035E-09,.2544522E-03
4.100000,.000000,1.250000,1,.3817035E-09,.2544522E-03
4.200000,.000000,1.250000,0,.000000,.000000
4.300000,.000000,1.250000,0,.000000,.000000
4.400000,.000000,1.250000,0,.000000,.000000
4.500000,.000000,1.250000,0,.000000,.000000
4.600000,.000000,1.250000,0,.000000,.000000
4.700000,.000000,1.250000,0,.000000,.000000
4.800000,.000000,1.250000,0,.000000,.000000
4.900000,.000000,1.250000,0,.000000,.000000
5.000000,.000000,1.250000,0,.000000,.000000
5.100000,.000000,1.250000,0,.000000,.000000
5.200000,.000000,1.250000,0,.000000,.000000
5.300000,.000000,1.250000,0,.000000,.000000
