case_name,office,aircon,ventilation,exhaust,n_from2sec,n_from2sec/S,countTimeMean_sit,countTimeMean_sit2stand,countTimeMean_exceptDesk,countTimeMean_onlyFloating
office2_0_164_aout,office2,0.0,164.0,a,7865.4,238.3454545454545,594.2728785357737,3491.917803660566,2700.012333333333,3452.98
office2_0_164_bout,office2,0.0,164.0,b,6049.8,183.3272727272728,432.6788685524127,2354.7377703826955,1856.1803333333328,2322.2413333333334
office2_0_246_aout,office2,0.0,246.0,a,7934.4,240.43636363636364,326.6915141430949,2902.4805324459235,2206.2206666666666,2855.4666666666667
office2_0_246_bout,office2,0.0,246.0,b,7662.0,232.1818181818182,562.5354409317804,2757.1777038269547,2039.6856666666663,2692.1233333333334
office2_0_82_aout,office2,0.0,82.0,a,7225.2,218.9454545454545,831.9111480865224,4003.190349417637,2591.324333333333,3965.822666666667
office2_0_82_bout,office2,0.0,82.0,b,7594.6,230.1393939393939,676.977371048253,3044.08618968386,2077.8906666666667,3006.3646666666664
office2_360_0,office2,360.0,0.0,off,7361.8,223.0848484848485,137.54808652246254,1172.9687188019966,927.8266666666668,1126.9966666666667
office2_360_164_aout,office2,360.0,164.0,a,6657.6,201.7454545454545,172.49617304492511,1508.189683860233,1055.47,1476.4036666666666
office2_360_164_bout,office2,360.0,164.0,b,6021.0,182.45454545454547,398.13743760399336,2484.6801996672216,1105.4983333333332,2446.215333333333
office2_360_246_aout,office2,360.0,246.0,a,6624.0,200.72727272727275,149.1351081530782,1377.144758735441,972.4003333333336,1345.2973333333332
office2_360_246_bout,office2,360.0,246.0,b,7619.0,230.8787878787879,388.2838602329451,2191.924126455907,1551.6153333333332,2146.8643333333334
office2_360_82_aout,office2,360.0,82.0,a,5027.6,152.35151515151514,92.22861896838604,1382.448918469218,1051.1913333333334,1349.8903333333333
office2_360_82_bout,office2,360.0,82.0,b,7356.6,222.9272727272727,127.95540765391014,1892.9397670549083,1410.405666666667,1857.7096666666666
office2_660_0,office2,660.0,0.0,off,6954.2,210.7333333333333,329.7151414309484,1982.351747088186,1605.1060000000002,1933.7216666666666
office2_660_164_aout,office2,660.0,164.0,a,7343.2,222.52121212121216,588.8246256239601,2500.746422628952,1960.9336666666663,2457.9546666666665
office2_660_164_bout,office2,660.0,164.0,b,4468.4,135.40606060606063,279.8665557404326,1503.0193011647254,1154.965333333333,1476.6066666666666
office2_660_246_aout,office2,660.0,246.0,a,7815.4,236.830303030303,377.110149750416,2795.3643926788686,2332.6710000000003,2751.859
office2_660_246_bout,office2,660.0,246.0,b,5795.6,175.62424242424242,344.3168053244592,1817.128452579035,1390.342666666667,1773.7783333333334
office2_660_82_aout,office2,660.0,82.0,a,7009.0,212.3939393939394,468.263227953411,2379.1783693843595,2028.999,2314.0156666666667
office2_660_82_bout,office2,660.0,82.0,b,6693.2,202.8242424242424,379.3594009983361,2061.518801996672,1463.4883333333332,1999.0116666666668
office2_960_0,office2,960.0,0.0,off,7525.4,228.04242424242423,444.6951747088186,1969.271214642263,1367.526,1897.7483333333332
office2_960_164_aout,office2,960.0,164.0,a,6564.0,198.9090909090909,294.93810316139763,2495.713477537438,1099.5106666666668,2461.4519999999998
office2_960_164_bout,office2,960.0,164.0,b,6232.4,188.86060606060605,452.7970049916805,2049.8785357737106,1447.371666666667,1988.4493333333335
office2_960_246_aout,office2,960.0,246.0,a,7157.0,216.87878787878785,542.1094841930117,2203.7361064891847,1605.162,2150.0223333333333
office2_960_246_bout,office2,960.0,246.0,b,7404.6,224.3818181818182,368.9780366056572,1970.4868552412647,1333.1756666666663,1884.467666666667
office2_960_82_aout,office2,960.0,82.0,a,6880.0,208.4848484848485,245.6945091514143,1557.1314475873544,954.5446666666668,1519.3319999999999
office2_960_82_bout,office2,960.0,82.0,b,7262.8,220.0848484848485,180.9121464226289,1489.5540765391015,879.3879999999999,1447.0839999999998
office3_0_0,office3,0.0,0.0,off,5299.6,160.59393939393937,568.5407653910149,2811.344758735441,1784.9126666666668,1548.4730000000002
office3_0_164_aout,office3,0.0,164.0,a,5005.8,151.6909090909091,737.1068219633944,3216.6000000000004,1932.318666666667,1690.697
office3_0_164_bout,office3,0.0,164.0,b,5558.2,168.43030303030304,394.3517470881864,3261.5890183028287,2157.5793333333336,1534.0976666666666
office3_0_246_aout,office3,0.0,246.0,a,5619.6,170.2909090909091,602.6585690515807,3047.520465890183,1792.321333333333,1671.6483333333335
office3_0_246_bout,office3,0.0,246.0,b,4277.2,129.6121212121212,757.8821963394342,2650.2352745424296,1495.4346666666668,1550.941
office3_0_82_aout,office3,0.0,82.0,a,4994.2,151.33939393939394,652.9188019966722,3450.809983361065,2411.8703333333337,1560.422
office3_0_82_bout,office3,0.0,82.0,b,4749.0,143.9090909090909,581.6366056572379,3070.434941763727,2119.2,1324.0083333333334
office3_360_0,office3,360.0,0.0,off,5594.8,169.53939393939396,640.912146422629,3245.643261231281,1640.688,2038.7666666666667
office3_360_164_aout,office3,360.0,164.0,a,5129.8,155.44848484848484,743.1846921797005,3293.4688851913475,2122.1006666666667,1582.3543333333334
office3_360_164_bout,office3,360.0,164.0,b,5144.6,155.8969696969697,625.4003327787021,2871.244925124792,1627.4943333333335,1604.451
office3_360_246_aout,office3,360.0,246.0,a,4569.4,138.46666666666667,712.544758735441,2855.362063227953,1790.6073333333331,1496.0216666666668
office3_360_246_bout,office3,360.0,246.0,b,5275.6,159.86666666666667,591.9587354409318,3454.446589018303,2375.781333333333,1548.9233333333332
office3_360_82_aout,office3,360.0,82.0,a,5139.0,155.72727272727272,769.1830282861897,3335.1876871880195,2080.566333333333,1696.9553333333333
office3_360_82_bout,office3,360.0,82.0,b,4900.2,148.4909090909091,648.6119800332779,3506.022961730449,2547.967,1418.8826666666666
office3_660_0,office3,660.0,0.0,off,6027.2,182.64242424242423,1090.1840266222962,4350.667221297837,3622.9583333333335,1905.812666666667
office3_660_164_aout,office3,660.0,164.0,a,3603.6,109.20000000000002,1814.896505823628,4183.625956738769,3114.094333333333,2541.099666666667
office3_660_164_bout,office3,660.0,164.0,b,5142.0,155.8181818181818,915.2219633943428,4136.973710482529,3106.3083333333334,2167.2733333333335
office3_660_246_aout,office3,660.0,246.0,a,4516.6,136.86666666666667,1208.116139767055,5176.822961730449,4230.648,2156.103666666667
office3_660_246_bout,office3,660.0,246.0,b,5569.2,168.76363636363638,821.3966722129784,4163.241930116473,3404.784333333333,1995.053
office3_660_82_aout,office3,660.0,82.0,a,5843.0,177.06060606060606,927.5297836938436,4313.982362728785,3652.218,2329.9733333333334
office3_660_82_bout,office3,660.0,82.0,b,5785.2,175.3090909090909,771.9331114808653,3320.7028286189684,1717.3819999999998,2797.654
office3_960_0,office3,960.0,0.0,off,5915.0,179.24242424242425,817.0069883527455,3919.510149750416,3182.050666666667,2033.397333333333
office3_960_164_aout,office3,960.0,164.0,a,4957.4,150.22424242424242,1649.953410981697,4335.193011647255,3346.916,2674.5870000000004
office3_960_164_bout,office3,960.0,164.0,b,5117.4,155.07272727272726,779.3720465890183,3209.7231281198005,2445.141,1803.7933333333333
office3_960_246_aout,office3,960.0,246.0,a,4428.0,134.1818181818182,1662.4868552412645,3671.02462562396,3118.968666666666,2218.6213333333335
office3_960_246_bout,office3,960.0,246.0,b,3890.0,117.87878787878788,1343.3384359400998,3968.8342762063226,3256.346333333333,2191.833
office3_960_82_aout,office3,960.0,82.0,a,5221.2,158.2181818181818,1130.875540765391,4683.139767054909,4076.449,2489.8116666666665
office3_960_82_bout,office3,960.0,82.0,b,5280.8,160.02424242424246,641.569384359401,3809.670216306156,3228.092333333334,2286.3126666666662
office4_0_0,office4,0.0,0.0,off,5042.4,152.8,474.4642262895175,2236.5474209650583,943.4993333333332,1712.4046666666668
office4_0_164_aout,office4,0.0,164.0,a,4274.0,129.5151515151515,616.2199667221298,2896.8585690515806,1867.8756666666663,1445.0393333333334
office4_0_164_bout,office4,0.0,164.0,b,5822.6,176.44242424242424,546.0971713810317,3065.951414309485,1328.7306666666666,2139.5446666666667
office4_0_246_aout,office4,0.0,246.0,a,5959.2,180.5818181818182,552.2722129783693,2532.500831946756,1107.9693333333337,1877.498
office4_0_246_bout,office4,0.0,246.0,b,4995.4,151.37575757575758,502.4868552412645,2666.5960066555745,1371.1893333333333,1720.3433333333332
office4_0_82_aout,office4,0.0,82.0,a,4894.6,148.3212121212121,562.6183028286189,2338.136106489185,1017.6603333333333,1752.667333333333
office4_0_82_bout,office4,0.0,82.0,b,4985.8,151.08484848484846,557.7457570715475,2525.39234608985,1399.153,1525.6053333333336
office4_360_0,office4,360.0,0.0,off,5161.0,156.39393939393938,526.0352745424293,2770.59700499168,1838.8503333333333,1447.3263333333334
office4_360_164_aout,office4,360.0,164.0,a,4637.2,140.52121212121213,633.3487520798668,2677.783361064892,1786.023,1333.1380000000001
office4_360_164_bout,office4,360.0,164.0,b,4928.6,149.35151515151514,449.2971713810316,2539.944758735441,1460.9886666666666,1438.9013333333335
office4_360_246_aout,office4,360.0,246.0,a,4746.6,143.8363636363636,501.171381031614,2411.2316139767054,1515.4343333333334,1311.1676666666667
office4_360_246_bout,office4,360.0,246.0,b,5173.4,156.769696969697,445.738768718802,2458.010648918469,1189.9003333333333,1673.1140000000003
office4_360_82_aout,office4,360.0,82.0,a,5088.6,154.2,477.7257903494177,2785.2176372712142,1575.057,1721.068
office4_360_82_bout,office4,360.0,82.0,b,4641.4,140.64848484848486,397.77903494176377,2167.34143094842,1046.0376666666668,1480.3446666666669
office4_660_0,office4,660.0,0.0,off,5295.8,160.47878787878787,505.96505823627285,2311.3683860232945,1213.6196666666665,1558.9516666666666
office4_660_164_aout,office4,660.0,164.0,a,5176.0,156.84848484848482,474.6455906821963,2393.2099833610646,1396.9863333333335,1494.8836666666666
office4_660_164_bout,office4,660.0,164.0,b,5878.0,178.1212121212121,380.1777038269551,2701.530116472546,1685.071333333333,1502.1513333333335
office4_660_246_aout,office4,660.0,246.0,a,5025.6,152.29090909090908,370.0778702163061,2037.0063227953408,1125.6319999999998,1386.6296666666667
office4_660_246_bout,office4,660.0,246.0,b,5603.2,169.7939393939394,413.4459234608985,2256.921464226289,1065.4206666666666,1692.3413333333333
office4_660_82_aout,office4,660.0,82.0,a,5372.0,162.78787878787878,411.4459234608985,2364.677537437604,1231.5106666666668,1458.2043333333336
office4_660_82_bout,office4,660.0,82.0,b,4274.4,129.52727272727273,427.0555740432612,2485.0169717138106,1563.0356666666664,1358.927333333333
office4_960_0,office4,960.0,0.0,off,4850.4,146.9818181818182,380.967387687188,2030.49850249584,1351.1063333333334,1281.3436666666666
office4_960_164_aout,office4,960.0,164.0,a,5929.8,179.6909090909091,391.0083194675541,2465.673544093178,1505.212,1623.0820000000003
office4_960_164_bout,office4,960.0,164.0,b,5441.4,164.8909090909091,331.7484193011647,2026.0056572379367,1415.0473333333332,1195.4730000000002
office4_960_246_aout,office4,960.0,246.0,a,5412.6,164.01818181818183,231.514143094842,1556.8785357737106,1069.688666666667,1066.8886666666665
office4_960_246_bout,office4,960.0,246.0,b,6152.6,186.44242424242424,266.55008319467555,1969.293510815308,1355.6296666666667,1294.946
office4_960_82_aout,office4,960.0,82.0,a,5545.8,168.05454545454546,267.40399334442594,1701.5653910149751,1069.606,1212.2166666666667
office4_960_82_bout,office4,960.0,82.0,b,5793.2,175.55151515151516,335.47254575707154,2058.2945091514143,1184.273,1438.065
office5_0_0,office5,0.0,0.0,off,5170.0,156.66666666666669,428.167387687188,1968.59068219634,1544.6023333333333,1943.6796666666671
office5_0_164_aout,office5,0.0,164.0,a,6382.8,193.41818181818184,506.72379367720464,2844.3317803660566,1936.284666666667,2808.778666666666
office5_0_164_bout,office5,0.0,164.0,b,5637.8,170.84242424242424,455.391680532446,2173.2409317803663,1529.5980000000002,2142.344333333333
office5_0_246_aout,office5,0.0,246.0,a,5794.8,175.6,570.6505823627288,2240.7327787021627,1607.1936666666666,2210.1946666666668
office5_0_246_bout,office5,0.0,246.0,b,6329.4,191.8,294.2848585690516,1990.994009983361,1347.6319999999998,1962.683
office5_0_82_aout,office5,0.0,82.0,a,5889.6,178.47272727272727,367.4782029950083,2145.925457570716,1654.8696666666667,2117.6986666666667
office5_0_82_bout,office5,0.0,82.0,b,5656.6,171.4121212121212,215.80632279534112,1833.384026622296,1364.1336666666666,1803.6553333333336
office5_360_0,office5,360.0,0.0,off,5938.6,179.95757575757574,174.80499168053245,1833.991347753744,1407.319,1807.4793333333334
office5_360_164_aout,office5,360.0,164.0,a,6727.6,203.86666666666665,306.8605657237937,1852.038602329451,1425.766,1816.0966666666666
office5_360_164_bout,office5,360.0,164.0,b,6084.2,184.3696969696969,563.2855241264558,2121.826955074875,1686.761,2092.6510000000003
office5_360_246_aout,office5,360.0,246.0,a,5693.8,172.53939393939396,236.1813643926789,1610.2029950083197,1024.9689999999998,1585.0813333333333
office5_360_246_bout,office5,360.0,246.0,b,6144.2,186.1878787878788,355.5201331114809,1957.4662229617309,1222.4696666666669,1932.153
office5_360_82_aout,office5,360.0,82.0,a,5995.6,181.6848484848485,269.97171381031615,1655.7913477537438,1147.9726666666666,1632.798
office5_360_82_bout,office5,360.0,82.0,b,5465.4,165.6181818181818,354.7091514143096,1693.7271214642262,1137.65,1666.8976666666667
office5_660_0,office5,660.0,0.0,off,6726.8,203.84242424242424,301.28818635607325,1538.022628951747,945.949,1510.3890000000001
office5_660_164_aout,office5,660.0,164.0,a,6637.0,201.12121212121207,304.86222961730454,1576.7134775374377,925.4336666666666,1550.2416666666666
office5_660_164_bout,office5,660.0,164.0,b,7759.4,235.13333333333333,395.6455906821963,1806.734775374376,1390.235,1772.8743333333334
office5_660_246_aout,office5,660.0,246.0,a,6478.0,196.3030303030303,444.8502495840266,1849.1886855241264,1332.0913333333335,1819.5026666666668
office5_660_246_bout,office5,660.0,246.0,b,6649.2,201.4909090909091,437.6801996672213,1905.303826955075,1355.0013333333334,1869.462
office5_660_82_aout,office5,660.0,82.0,a,7098.6,215.1090909090909,243.330449251248,1853.0635607321133,1426.0246666666667,1825.8966666666668
office5_660_82_bout,office5,660.0,82.0,b,6029.6,182.71515151515152,293.19400998336107,1500.94309484193,963.6453333333332,1475.2033333333334
office5_960_0,office5,960.0,0.0,off,5971.8,180.9636363636364,193.448918469218,1177.7567387687188,852.7956666666668,1147.78
office5_960_164_aout,office5,960.0,164.0,a,6685.2,202.58181818181816,314.68851913477533,1591.3131447587357,1147.1563333333334,1565.5066666666667
office5_960_164_bout,office5,960.0,164.0,b,6756.0,204.72727272727275,339.57337770382696,1638.754076539101,1201.0030000000002,1608.5713333333333
office5_960_246_aout,office5,960.0,246.0,a,7152.4,216.73939393939395,285.53211314475874,1430.0865224625625,1139.8366666666666,1400.54
office5_960_246_bout,office5,960.0,246.0,b,6611.2,200.339393939394,318.21464226289515,1524.830615640599,1175.4163333333331,1484.2633333333333
office5_960_82_aout,office5,960.0,82.0,a,6482.0,196.42424242424244,269.5993344425957,1467.7297836938435,1103.1313333333335,1417.8770000000002
office5_960_82_bout,office5,960.0,82.0,b,6924.6,209.83636363636364,293.90848585690514,1477.133444259567,1112.0809999999997,1440.3183333333334
office6_0_0,office6,0.0,0.0,off,5367.4,162.64848484848486,204.9803660565724,1590.758735440932,844.169,1531.844
office6_0_164_aout,office6,0.0,164.0,a,6110.4,185.1636363636364,169.06788685524126,1621.6525790349417,1132.694,1569.5853333333332
office6_0_164_bout,office6,0.0,164.0,b,4913.0,148.87878787878788,130.72212978369384,1278.9520798668884,961.1203333333332,1247.0663333333334
office6_0_246_aout,office6,0.0,246.0,a,5342.8,161.9030303030303,222.5008319467554,1452.6432612312813,1032.1483333333333,1414.7056666666665
office6_0_246_bout,office6,0.0,246.0,b,4315.0,130.75757575757575,265.5793677204659,1508.367387687188,1119.8529999999998,1482.738
office6_0_82_aout,office6,0.0,82.0,a,4750.8,143.96363636363637,224.61198003327783,1195.1051580698836,859.68,1150.357
office6_0_82_bout,office6,0.0,82.0,b,5258.2,159.33939393939394,184.7860232945092,1496.733111480865,1080.601,1450.7116666666664
office6_360_0,office6,360.0,0.0,off,5277.6,159.92727272727274,197.9910149750416,1444.324126455907,1112.5583333333334,1403.8056666666666
office6_360_164_aout,office6,360.0,164.0,a,6477.8,196.2969696969697,225.9344425956739,1601.128452579035,1224.2936666666667,1557.2383333333332
office6_360_164_bout,office6,360.0,164.0,b,5706.4,172.92121212121214,197.6259567387687,1328.1138103161395,884.4820000000001,1299.1676666666667
office6_360_246_aout,office6,360.0,246.0,a,6435.6,195.01818181818183,193.8415973377704,1495.7254575707154,1042.595,1451.2663333333335
office6_360_246_bout,office6,360.0,246.0,b,6584.2,199.52121212121213,273.7254575707155,1841.202329450916,1358.149,1794.6393333333335
office6_360_82_aout,office6,360.0,82.0,a,5627.2,170.5212121212121,230.42961730449247,1373.2838602329452,946.0973333333332,1329.6903333333332
office6_360_82_bout,office6,360.0,82.0,b,6183.2,187.3696969696969,218.60366056572377,1766.912479201331,1253.8913333333337,1720.3663333333334
office6_660_0,office6,660.0,0.0,off,7121.0,215.78787878787875,266.31946755407654,1687.57537437604,1102.809,1641.8416666666667
office6_660_164_aout,office6,660.0,164.0,a,6296.4,190.8,350.91880199667224,1936.8881863560728,1570.94,1895.6383333333333
office6_660_164_bout,office6,660.0,164.0,b,6767.4,205.0727272727273,252.04392678868552,1467.2642262895176,1084.5586666666666,1430.9806666666666
office6_660_246_aout,office6,660.0,246.0,a,6838.8,207.2363636363636,435.8785357737105,2022.5194675540763,1588.211,1991.2433333333333
office6_660_246_bout,office6,660.0,246.0,b,6825.0,206.8181818181818,347.5594009983361,1683.1803660565722,1210.7100000000005,1651.7886666666666
office6_660_82_aout,office6,660.0,82.0,a,6883.0,208.5757575757576,185.58502495840267,1561.1344425956738,1118.7156666666665,1514.8743333333332
office6_660_82_bout,office6,660.0,82.0,b,6974.4,211.3454545454545,189.18236272878536,1341.3640599001662,1017.7743333333332,1311.7986666666666
office6_960_0,office6,960.0,0.0,off,7945.2,240.76363636363635,202.98668885191347,1936.141763727121,1414.994,1890.0629999999996
office6_960_164_aout,office6,960.0,164.0,a,7520.2,227.88484848484845,260.4965058236273,1850.1068219633944,1313.2146666666667,1820.4796666666668
office6_960_164_bout,office6,960.0,164.0,b,7071.4,214.2848484848485,166.8502495840266,1274.428951747088,973.8186666666666,1247.837
office6_960_246_aout,office6,960.0,246.0,a,7437.6,225.3818181818182,269.17171381031613,1864.7474209650584,1136.154,1828.9763333333335
office6_960_246_bout,office6,960.0,246.0,b,7195.8,218.05454545454543,257.742762063228,1657.071214642263,1029.7293333333334,1622.3460000000002
office6_960_82_aout,office6,960.0,82.0,a,6592.2,199.7636363636364,231.8369384359401,1306.2106489184691,890.6503333333333,1272.9413333333334
office6_960_82_bout,office6,960.0,82.0,b,6504.6,197.1090909090909,198.9680532445924,1139.5976705490848,818.6506666666666,1110.7706666666666
office7_0_0,office7,0.0,0.0,off,6850.2,190.28333333333336,689.8455906821963,3044.945757071548,2081.2296666666666,3006.2933333333335
office7_0_164_aout,office7,0.0,164.0,a,7004.6,194.57222222222225,579.5687188019966,2725.5933444259567,1749.0303333333336,2665.3520000000003
office7_0_164_bout,office7,0.0,164.0,b,6886.8,191.3,558.1028286189684,3005.072545757072,2076.8113333333336,2969.908666666667
office7_0_246_aout,office7,0.0,246.0,a,7301.4,202.81666666666663,382.934775374376,2193.3554076539103,1680.2376666666669,2138.763
office7_0_246_bout,office7,0.0,246.0,b,6920.4,192.2333333333333,754.677537437604,3376.2056572379365,2317.5060000000003,3335.4416666666666
office7_0_82_aout,office7,0.0,82.0,a,6816.8,189.35555555555555,624.3404326123127,3075.4242928452577,2371.180666666666,3034.383666666667
office7_0_82_bout,office7,0.0,82.0,b,6432.6,178.68333333333334,631.8728785357737,2797.3104825291184,1947.138,2756.257333333333
office7_360_0,office7,360.0,0.0,off,5619.4,156.09444444444443,204.5487520798669,1791.5168053244597,1267.5076666666669,1751.8210000000001
office7_360_164_aout,office7,360.0,164.0,a,5956.2,165.45,263.9940099833611,1427.3767054908487,1085.0416666666667,1384.0696666666668
office7_360_164_bout,office7,360.0,164.0,b,5837.6,162.15555555555554,266.0499168053245,1713.3973377703828,1346.2456666666667,1674.9886666666666
office7_360_246_aout,office7,360.0,246.0,a,6474.2,179.8388888888889,321.0638935108153,1720.7980033277872,1431.6906666666666,1653.1446666666666
office7_360_246_bout,office7,360.0,246.0,b,5933.6,164.82222222222225,267.6033277870216,1825.018968386023,1394.728,1782.97
office7_360_82_aout,office7,360.0,82.0,a,6512.4,180.90000000000003,284.8569051580699,2047.0029950083192,1725.4253333333334,1995.391
office7_360_82_bout,office7,360.0,82.0,b,6214.4,172.6222222222222,284.7843594009983,1693.3540765391017,1342.9376666666667,1633.948
office7_660_0,office7,660.0,0.0,off,6621.8,183.9388888888889,303.5850249584027,1701.9114808652248,1351.572666666667,1662.049
office7_660_164_aout,office7,660.0,164.0,a,6720.0,186.66666666666669,409.73510815307816,1753.929118136439,1284.7053333333336,1719.817
office7_660_164_bout,office7,660.0,164.0,b,7289.4,202.4833333333333,352.96339434276206,1967.718136439268,1577.032,1904.0536666666667
office7_660_246_aout,office7,660.0,246.0,a,6858.0,190.5,330.33144758735443,1696.3527454242928,1355.6616666666666,1631.2396666666666
office7_660_246_bout,office7,660.0,246.0,b,7772.4,215.9,484.2715474209651,2235.823960066556,1639.8423333333335,2189.7546666666667
office7_660_82_aout,office7,660.0,82.0,a,6799.0,188.86111111111111,278.9623960066556,1660.891846921797,1290.3496666666667,1623.7726666666665
office7_660_82_bout,office7,660.0,82.0,b,6943.2,192.86666666666667,280.5504159733777,1773.4029950083193,1283.974333333333,1738.8560000000002
office7_960_0,office7,960.0,0.0,off,7348.4,204.1222222222222,362.69051580698834,1685.957404326123,1281.6926666666666,1645.6106666666667
office7_960_164_aout,office7,960.0,164.0,a,7060.2,196.11666666666667,256.8129783693844,1397.9084858569051,1134.025666666667,1351.4566666666667
