casename,num_drop,volume[ml],RoI
office1_0_0,4553.6,3.4741402676000005e-05,137.9878787878788
office1_0_123_aout,4648.6,2.795100554e-05,140.86666666666667
office1_0_123_bout,4651.8,3.1181787176e-05,140.96363636363637
office1_0_164_aout,4321.2,3.9826990899999994e-05,130.94545454545454
office1_0_164_bout,3970.4,2.0861711988000003e-05,120.31515151515153
office1_0_205_aout,4956.8,4.934298742e-05,150.2060606060606
office1_0_205_bout,4410.6,3.652573794e-05,133.65454545454546
office1_0_246_aout,5085.0,4.2888434920000005e-05,154.0909090909091
office1_0_246_bout,5090.0,3.2387324429999996e-05,154.24242424242425
office1_0_41_aout,4820.6,2.735823802e-05,146.0787878787879
office1_0_41_bout,4698.6,2.6452040040000002e-05,142.38181818181818
office1_0_82_aout,4659.0,4.0049335356e-05,141.1818181818182
office1_0_82_bout,4698.8,3.304033253599999e-05,142.38787878787878
office1_660_0,1911.8,2.037415734e-05,57.93333333333332
office1_660_123_aout,3119.4,2.1263742022000003e-05,94.52727272727273
office1_660_123_bout,2884.4,3.8096306385999995e-05,87.4060606060606
office1_660_164_aout,2164.6,2.941375172e-05,65.5939393939394
office1_660_164_bout,2378.8,2.2768639258e-05,72.0848484848485
office1_660_205_aout,1454.6,1.9828183238000003e-05,44.07878787878788
office1_660_205_bout,3223.6,3.3433724718e-05,97.68484848484847
office1_660_246_aout,3935.4,3.0056403188e-05,119.25454545454545
office1_660_246_bout,2093.8,2.0799406398e-05,63.44848484848485
office1_660_41_aout,3512.0,2.7296769513999997e-05,106.42424242424242
office1_660_41_bout,2693.4,2.5697098865999997e-05,81.61818181818181
office1_660_82_aout,1917.0,1.2587255879999999e-05,58.090909090909086
office1_660_82_bout,4350.0,3.2606492112e-05,131.8181818181818
office1_960_0,3247.6,2.471885308e-05,98.41212121212122
office1_960_123_aout,4166.8,4.403833438e-05,126.26666666666665
office1_960_123_bout,3339.8,4.6274518560000005e-05,101.20606060606062
office1_960_164_aout,2918.8,2.3431495535999997e-05,88.44848484848485
office1_960_164_bout,3299.6,2.950045308e-05,99.98787878787877
office1_960_205_aout,3247.6,3.36054869e-05,98.41212121212122
office1_960_205_bout,3115.4,3.0528416384e-05,94.4060606060606
