casename,num_drop,volume[ml],RoI
office1_0_0_A,6375,4.4324468e-05,193.1818181818182
office1_0_0_E,6538,4.93194711e-05,198.12121212121212
office1_0_41_aout_A,4945,1.75555069e-05,149.84848484848484
office1_0_41_aout_C,3294,3.08211202e-05,99.81818181818181
office1_0_41_bout_A,6925,6.62142047e-05,209.84848484848484
office1_0_41_bout_E,3185,1.78740847e-05,96.51515151515152
office1_0_82_aout_C,1042,4.74453145e-06,31.575757575757574
office1_0_82_aout_D,6729,5.74442711e-05,203.9090909090909
office1_0_82_aout_E,7688,7.25989885e-05,232.96969696969697
office1_0_82_bout_A,7118,4.8846563e-05,215.6969696969697
office1_0_82_bout_B,6371,3.14703466e-05,193.06060606060606
office1_0_82_bout_C,2212,9.87486328e-06,67.03030303030303
office1_0_82_bout_E,5817,2.81750308e-05,176.27272727272728
office1_0_123_aout_A,7904,3.63124709e-05,239.5151515151515
office1_0_123_aout_B,3227,1.42794652e-05,97.78787878787878
office1_0_123_aout_E,3305,2.43680297e-05,100.15151515151516
office1_0_123_bout_A,8097,3.79314843e-05,245.36363636363637
office1_0_123_bout_B,6734,6.08441587e-05,204.06060606060606
office1_0_123_bout_C,1801,1.79105664e-05,54.57575757575758
office1_0_123_bout_D,4897,3.038676e-05,148.3939393939394
office1_0_123_bout_E,3037,9.68969744e-06,92.03030303030303
office1_0_164_bout_B,6836,1.89566072e-05,207.15151515151516
office1_0_205_aout_B,7023,7.53917338e-05,212.8181818181818
office1_0_205_bout_C,1804,1.41570235e-05,54.666666666666664
office1_0_205_bout_E,5334,6.19630373e-05,161.63636363636363
office1_0_246_aout_B,6175,0.000110313566,187.12121212121212
office1_0_246_aout_C,4633,3.44646323e-05,140.3939393939394
office1_660_0_B,689,5.56751866e-06,20.87878787878788
office1_660_0_E,3494,6.06156245e-05,105.87878787878788
office1_660_41_aout_A,7539,3.61550665e-05,228.45454545454547
office1_660_41_aout_D,1729,1.1356693e-05,52.39393939393939
office1_660_41_aout_E,4734,6.41084916e-05,143.45454545454547
office1_660_41_bout_B,3610,1.86036796e-05,109.39393939393939
office1_660_41_bout_C,2371,2.87862676e-05,71.84848484848484
office1_660_82_aout_B,3331,9.49702826e-06,100.93939393939394
office1_660_82_bout_A,7057,3.14202916e-05,213.84848484848484
office1_660_82_bout_B,1955,6.01045576e-06,59.24242424242424
office1_660_82_bout_C,6142,3.05698159e-05,186.12121212121212
office1_660_82_bout_E,4272,5.8114616e-05,129.45454545454547
office1_660_123_aout_A,6223,5.15719839e-05,188.57575757575756
office1_660_123_aout_D,1330,1.46899192e-05,40.303030303030305
office1_660_123_aout_E,3376,2.50193189e-05,102.3030303030303
office1_660_123_bout_A,8542,9.76693991e-05,258.8484848484849
office1_660_123_bout_B,1711,2.10433118e-05,51.84848484848485
office1_660_123_bout_C,4475,3.79768644e-05,135.6060606060606
office1_660_164_aout_B,963,2.00621162e-05,29.181818181818183
office1_660_164_aout_D,3577,2.98568521e-05,108.39393939393939
office1_660_164_aout_E,2176,3.66063832e-05,65.93939393939394
office1_660_164_bout_B,1347,8.98829603e-06,40.81818181818182
office1_660_205_aout_B,422,8.63301739e-06,12.787878787878787
office1_660_205_aout_C,3166,2.89051186e-05,95.93939393939394
office1_660_205_aout_D,1928,1.42366516e-05,58.42424242424242
office1_660_205_bout_D,2578,2.03715899e-05,78.12121212121212
office1_660_205_bout_E,4796,6.84870392e-05,145.33333333333334
office1_660_246_aout_A,8225,5.32780214e-05,249.24242424242425
office1_660_246_aout_C,5266,2.10232647e-05,159.57575757575756
office1_660_246_aout_E,3627,4.8794147e-05,109.9090909090909
