x,y,z,num_drop,volume[ml],RoI
.000000,.000000,1.250000,0,.000000,.000000
.1000000,.000000,1.250000,0,.000000,.000000
.2000000,.000000,1.250000,0,.000000,.000000
.3000000,.000000,1.250000,0,.000000,.000000
.4000000,.000000,1.250000,0,.000000,.000000
.5000000,.000000,1.250000,0,.000000,.000000
.6000000,.000000,1.250000,0,.000000,.000000
.7000000,.000000,1.250000,0,.000000,.000000
.8000000,.000000,1.250000,0,.000000,.000000
.9000000,.000000,1.250000,0,.000000,.000000
1.000000,.000000,1.250000,0,.000000,.000000
1.100000,.000000,1.250000,0,.000000,.000000
1.200000,.000000,1.250000,0,.000000,.000000
1.300000,.000000,1.250000,0,.000000,.000000
1.400000,.000000,1.250000,0,.000000,.000000
1.500000,.000000,1.250000,0,.000000,.000000
1.600000,.000000,1.250000,0,.000000,.000000
1.700000,.000000,1.250000,0,.000000,.000000
1.800000,.000000,1.250000,0,.000000,.000000
1.900000,.000000,1.250000,0,.000000,.000000
2.000000,.000000,1.250000,0,.000000,.000000
2.100000,.000000,1.250000,0,.000000,.000000
2.200000,.000000,1.250000,6,.1277777E-08,.8515120E-03
2.300000,.000000,1.250000,7,.1196489E-07,.7944882E-02
2.400000,.000000,1.250000,1,.3817035E-09,.2544522E-03
2.500000,.000000,1.250000,0,.000000,.000000
2.600000,.000000,1.250000,0,.000000,.000000
2.700000,.000000,1.250000,1,.3817035E-09,.2544522E-03
2.800000,.000000,1.250000,1,.1278317E-06,.8169085E-01
2.900000,.000000,1.250000,42,.9888665E-06,.4827580
3.000000,.000000,1.250000,4,.3547054E-08,.2361894E-02
3.100000,.000000,1.250000,4,.9572041E-06,.4717238
3.200000,.000000,1.250000,0,.000000,.000000
3.300000,.000000,1.250000,0,.000000,.000000
3.400000,.000000,1.250000,25,.2928643E-06,.1773652
3.500000,.000000,1.250000,8,.2568143E-06,.1573550
3.600000,.000000,1.250000,16,.1388166E-06,.8839124E-01
3.700000,.000000,1.250000,0,.000000,.000000
3.800000,.000000,1.250000,0,.000000,.000000
3.900000,.000000,1.250000,0,.000000,.000000
4.000000,.000000,1.250000,1,.1795944E-09,.1197457E-03
4.100000,.000000,1.250000,0,.000000,.000000
4.200000,.000000,1.250000,0,.000000,.000000
4.300000,.000000,1.250000,0,.000000,.000000
4.400000,.000000,1.250000,0,.000000,.000000
4.500000,.000000,1.250000,0,.000000,.000000
4.600000,.000000,1.250000,0,.000000,.000000
4.700000,.000000,1.250000,1,.1088922E-07,.7233202E-02
4.800000,.000000,1.250000,1,.1795944E-09,.1197457E-03
4.900000,.000000,1.250000,1,.1795944E-09,.1197457E-03
5.000000,.000000,1.250000,4,.1008451E-08,.6721020E-03
