casename,num_drop,volume[ml],RoI
office1_0_0_A,4960,6.87340726e-05,150.3030303030303
office1_0_0_E,8017,6.35267352e-05,242.93939393939394
office1_0_41_aout_A,8087,5.81375789e-05,245.06060606060606
office1_0_41_aout_C,6946,8.38819906e-05,210.4848484848485
office1_0_41_bout_A,6218,7.26407307e-05,188.42424242424244
office1_0_41_bout_E,7277,6.27509071e-05,220.5151515151515
office1_0_82_aout_C,2918,2.22347535e-05,88.42424242424242
office1_0_82_aout_D,7255,6.83262115e-05,219.84848484848484
office1_0_82_aout_E,6936,2.24381693e-05,210.1818181818182
office1_0_82_bout_A,8217,9.56163785e-05,249.0
office1_0_82_bout_B,7785,6.03729859e-05,235.9090909090909
office1_0_82_bout_C,6526,4.51659471e-05,197.75757575757575
office1_0_82_bout_E,5906,5.82072716e-05,178.96969696969697
office1_0_123_aout_A,5888,6.97345313e-05,178.42424242424244
office1_0_123_aout_B,7147,4.20489305e-05,216.57575757575756
office1_0_123_aout_E,6485,7.06296123e-05,196.5151515151515
office1_0_123_bout_A,5852,7.6945129e-05,177.33333333333334
office1_0_123_bout_B,7557,7.86250312e-05,229.0
office1_0_123_bout_C,8313,7.41909316e-05,251.9090909090909
office1_0_123_bout_D,5100,4.16505318e-05,154.54545454545453
office1_0_123_bout_E,3640,1.14270188e-05,110.3030303030303
office1_0_164_bout_B,6785,3.5899091e-05,205.6060606060606
office1_0_205_aout_B,6021,0.000101747304,182.45454545454547
office1_0_205_bout_C,5745,6.53276002e-05,174.0909090909091
office1_0_205_bout_E,6041,5.35478212e-05,183.06060606060606
office1_0_246_aout_B,5822,0.000117873606,176.42424242424244
office1_0_246_aout_C,8155,8.20094938e-05,247.12121212121212
office1_660_0_B,1250,8.90682531e-06,37.878787878787875
office1_660_0_E,3816,7.65577133e-05,115.63636363636364
office1_660_41_aout_A,8370,7.67721576e-05,253.63636363636363
office1_660_41_aout_D,5902,4.03938247e-05,178.84848484848484
office1_660_41_aout_E,6000,7.88686812e-05,181.8181818181818
office1_660_41_bout_B,4420,2.66139705e-05,133.93939393939394
office1_660_41_bout_C,6159,5.85370217e-05,186.63636363636363
office1_660_82_aout_B,4317,1.40737957e-05,130.8181818181818
office1_660_82_bout_A,7758,5.00906208e-05,235.0909090909091
office1_660_82_bout_B,4145,1.06463331e-05,125.60606060606061
office1_660_82_bout_C,7728,4.35630573e-05,234.1818181818182
office1_660_82_bout_E,7807,6.42010637e-05,236.57575757575756
office1_660_123_aout_A,8750,0.000137863375,265.1515151515151
office1_660_123_aout_D,4249,4.35147049e-05,128.75757575757575
office1_660_123_aout_E,4030,6.80431767e-05,122.12121212121212
office1_660_123_bout_A,8800,0.000130190601,266.6666666666667
office1_660_123_bout_B,2246,3.96520954e-05,68.06060606060606
office1_660_123_bout_C,7663,7.55032088e-05,232.21212121212122
office1_660_164_aout_B,1874,2.87649018e-05,56.78787878787879
office1_660_164_aout_D,5277,6.48551795e-05,159.9090909090909
office1_660_164_aout_E,3221,4.50051884e-05,97.60606060606061
office1_660_164_bout_B,1984,1.80628704e-05,60.121212121212125
office1_660_205_aout_B,2141,1.94772256e-05,64.87878787878788
office1_660_205_aout_C,8197,8.45587711e-05,248.3939393939394
office1_660_205_aout_D,4802,3.31206102e-05,145.5151515151515
office1_660_205_bout_D,6644,4.41849079e-05,201.33333333333334
office1_660_205_bout_E,5500,7.30423126e-05,166.66666666666666
office1_660_246_aout_A,7759,8.048585e-05,235.12121212121212
office1_660_246_aout_C,7000,5.0068189e-05,212.12121212121212
office1_660_246_aout_E,5353,7.05163475e-05,162.21212121212122
office1_660_246_bout_C,7997,7.86668752e-05,242.33333333333334
office1_660_246_bout_D,5585,8.60339642e-05,169.24242424242425
office1_660_246_bout_E,469,1.12293083e-05,14.212121212121213
office1_960_0_A,8520,6.38514175e-05,258.1818181818182
office1_960_0_B,4119,3.02582102e-05,124.81818181818181
office1_960_0_E,6866,4.64924196e-05,208.06060606060606
office1_960_41_aout_A,7515,9.40232276e-05,227.72727272727272
office1_960_41_aout_B,6978,0.000115084396,211.45454545454547
office1_960_41_aout_C,4257,4.18799173e-05,129.0
office1_960_41_aout_D,6449,7.98517431e-05,195.42424242424244
office1_960_41_bout_A,8325,7.09690867e-05,252.27272727272728
office1_960_41_bout_C,8055,7.35305075e-05,244.0909090909091
office1_960_82_aout_A,7182,5.1146515e-05,217.63636363636363
office1_960_82_bout_A,7318,0.000125568811,221.75757575757575
office1_960_82_bout_B,2205,7.19987365e-05,66.81818181818181
office1_960_82_bout_C,7546,4.89771992e-05,228.66666666666666
office1_960_82_bout_E,4228,2.23866537e-05,128.12121212121212
office1_960_123_aout_B,6648,0.000147873827,201.45454545454547
office1_960_123_aout_C,8346,6.53129537e-05,252.9090909090909
office1_960_123_aout_D,7151,6.95893104e-05,216.6969696969697
office1_960_123_aout_E,4789,3.20154249e-05,145.12121212121212
office1_960_123_bout_A,8870,0.000157041417,268.7878787878788
office1_960_123_bout_B,6748,0.00013258394,204.4848484848485
office1_960_123_bout_C,3123,5.70497978e-05,94.63636363636364
office1_960_123_bout_D,6454,7.71135237e-05,195.57575757575756
office1_960_164_aout_A,2428,2.74170943e-05,73.57575757575758
office1_960_164_aout_C,6138,4.50890329e-05,186.0
office1_960_164_aout_D,7886,6.67262066e-05,238.96969696969697
office1_960_164_aout_E,3179,1.6044547e-05,96.33333333333333
office1_960_164_bout_B,5397,8.8788438e-05,163.54545454545453
office1_960_164_bout_C,3415,2.77706295e-05,103.48484848484848
office1_960_164_bout_D,6594,5.72326098e-05,199.8181818181818
office1_960_205_aout_A,6800,3.79788362e-05,206.06060606060606
office1_960_205_aout_E,6598,3.32274831e-05,199.93939393939394
office1_960_205_bout_B,4670,9.358854e-05,141.5151515151515
office1_960_205_bout_E,2502,7.8601488e-06,75.81818181818181
office1_960_246_aout_A,7089,7.17554794e-05,214.8181818181818
office1_960_246_aout_B,3800,6.10605202e-05,115.15151515151516
office1_960_246_aout_D,6034,4.37768067e-05,182.84848484848484
office1_960_246_aout_E,6191,3.64807456e-05,187.6060606060606
office1_960_246_bout_A,8697,0.000129014705,263.54545454545456
office1_960_246_bout_B,7409,0.000157683622,224.5151515151515
office1_0_246_bout_A,5561,7.66751182e-05,168.5151515151515
office1_0_205_aout_E,7171,5.81333661e-05,217.3030303030303
office1_960_82_aout_B,7912,8.31885263e-05,239.75757575757575
office1_960_123_bout_E,6172,3.41380364e-05,187.03030303030303
office1_0_123_aout_C,6674,7.32346889e-05,202.24242424242425
office1_660_0_D,7316,7.60762268e-05,221.6969696969697
office1_0_205_bout_D,4630,5.87817703e-05,140.3030303030303
office1_0_205_bout_A,7458,5.7594767e-05,226.0
office1_660_164_aout_A,8351,7.90873892e-05,253.06060606060606
office1_0_246_bout_D,6086,5.97067155e-05,184.42424242424244
office1_960_164_bout_A,7042,0.000104702609,213.3939393939394
office1_0_164_bout_C,7213,7.5844684e-05,218.57575757575756
