casename,num_drop,volume[ml],RoI
office15_0_0_A,3685,5.28574856e-05,87.73809523809524
office15_0_164_aout_A,2939,4.99052912e-05,69.97619047619048
office15_0_164_bout_A,5651,5.3239688e-05,134.54761904761904
office15_0_246_aout_A,7578,7.333143e-05,180.42857142857142
office15_0_246_bout_A,1208,3.55406337e-05,28.761904761904763
office15_0_82_aout_A,5299,6.79268924e-05,126.16666666666667
office15_0_82_bout_A,5683,4.81042334e-05,135.3095238095238
office15_360_0_A,4283,2.6116355e-05,101.97619047619048
office15_360_164_aout_A,4846,4.91873034e-05,115.38095238095238
office15_360_164_bout_A,2891,2.30873102e-05,68.83333333333333
office15_360_246_aout_A,5578,3.84455889e-05,132.8095238095238
office15_360_246_bout_A,1697,1.80027619e-05,40.404761904761905
office15_360_82_aout_A,3542,1.39375516e-05,84.33333333333333
office15_360_82_bout_A,1397,3.34288088e-05,33.26190476190476
office15_660_0_A,3125,4.41788907e-05,74.4047619047619
office15_660_164_aout_A,5741,7.73219217e-05,136.6904761904762
office15_660_164_bout_A,3901,2.92456152e-05,92.88095238095238
office15_660_246_aout_A,4502,3.11237673e-05,107.19047619047619
office15_660_246_bout_A,3079,1.55593334e-05,73.30952380952381
office15_660_82_aout_A,3890,4.97797337e-05,92.61904761904762
office15_660_82_bout_A,3098,2.85241786e-05,73.76190476190476
office15_960_0_A,4512,3.36393532e-05,107.42857142857143
office15_960_164_aout_A,3686,1.79034359e-05,87.76190476190476
office15_960_164_bout_A,3737,1.54179688e-05,88.97619047619048
office15_960_246_aout_A,5606,6.91700188e-05,133.47619047619048
office15_960_246_bout_A,5094,3.40578226e-05,121.28571428571429
office15_960_82_aout_A,3340,2.24042669e-05,79.52380952380952
office15_960_82_bout_A,6077,2.24433243e-05,144.6904761904762
office15_0_0_B,3039,2.64015343e-05,72.35714285714286
office15_0_164_aout_B,3394,2.31587619e-05,80.80952380952381
office15_0_164_bout_B,3364,3.02612461e-05,80.0952380952381
office15_0_246_aout_B,5372,5.48903736e-05,127.9047619047619
office15_0_246_bout_B,4082,3.01858145e-05,97.19047619047619
office15_0_82_aout_B,3516,3.02187982e-05,83.71428571428571
office15_0_82_bout_B,2232,3.62002866e-05,53.142857142857146
office15_360_0_B,1037,5.12360384e-06,24.69047619047619
office15_360_164_aout_B,581,4.09730501e-06,13.833333333333334
office15_360_164_bout_B,781,3.01129194e-06,18.595238095238095
office15_360_246_aout_B,1751,8.39111544e-06,41.69047619047619
office15_360_246_bout_B,1191,6.11038604e-06,28.357142857142858
office15_360_82_aout_B,1790,2.72366083e-06,42.61904761904762
office15_360_82_bout_B,2388,1.86433481e-05,56.857142857142854
office15_660_0_B,1339,6.01046622e-06,31.88095238095238
office15_660_164_aout_B,3187,2.04953885e-05,75.88095238095238
office15_660_164_bout_B,977,1.64501989e-06,23.261904761904763
office15_660_246_aout_B,3701,2.73771184e-05,88.11904761904762
office15_660_246_bout_B,2433,1.27416124e-05,57.92857142857143
office15_660_82_aout_B,2377,2.2791497e-05,56.595238095238095
office15_660_82_bout_B,1902,1.70458534e-05,45.285714285714285
office15_960_0_B,2838,1.81722316e-05,67.57142857142857
office15_960_164_aout_B,4559,3.41019477e-05,108.54761904761905
office15_960_164_bout_B,3949,6.7918947e-05,94.02380952380952
office15_960_246_aout_B,4018,3.62931751e-05,95.66666666666667
office15_960_246_bout_B,3556,3.18131388e-05,84.66666666666667
office15_960_82_aout_B,3035,6.98681761e-05,72.26190476190476
office15_960_82_bout_B,2658,3.45490043e-05,63.285714285714285
office15_0_0_C,2793,2.73234928e-05,66.5
office15_0_164_aout_C,5814,6.31911898e-05,138.42857142857142
office15_0_164_bout_C,6621,0.000104972503,157.64285714285714
office15_0_246_aout_C,4961,9.63735365e-05,118.11904761904762
office15_0_246_bout_C,5060,3.89225243e-05,120.47619047619048
office15_0_82_aout_C,6065,0.000100063888,144.4047619047619
office15_0_82_bout_C,3920,3.85917228e-05,93.33333333333333
office15_360_0_C,5731,6.55153999e-05,136.45238095238096
office15_360_164_aout_C,5279,5.820554e-05,125.69047619047619
office15_360_164_bout_C,5768,7.25161663e-05,137.33333333333334
office15_360_246_aout_C,4838,4.75541674e-05,115.19047619047619
office15_360_246_bout_C,6764,7.31964683e-05,161.04761904761904
office15_360_82_aout_C,5874,3.97746844e-05,139.85714285714286
office15_360_82_bout_C,5933,4.19594871e-05,141.26190476190476
office15_660_0_C,8007,0.000125907463,190.64285714285714
office15_660_164_aout_C,7484,6.84827901e-05,178.1904761904762
office15_660_164_bout_C,7946,7.9727557e-05,189.1904761904762
office15_660_246_aout_C,7454,0.000113325928,177.47619047619048
office15_660_246_bout_C,8240,9.55083451e-05,196.1904761904762
office15_660_82_aout_C,6981,5.02909643e-05,166.21428571428572
office15_660_82_bout_C,7389,6.48406567e-05,175.92857142857142
office15_960_0_C,6642,7.02897378e-05,158.14285714285714
office15_960_164_aout_C,6582,8.23804658e-05,156.71428571428572
office15_960_164_bout_C,4933,6.71305388e-05,117.45238095238095
office15_960_246_aout_C,6990,7.29788226e-05,166.42857142857142
office15_960_246_bout_C,7194,0.000123249018,171.28571428571428
office15_960_82_aout_C,7350,7.42193079e-05,175.0
office15_960_82_bout_C,4603,7.59648246e-05,109.5952380952381
office15_0_0_D,4900,6.44671018e-05,116.66666666666667
office15_0_164_aout_D,4976,6.58300705e-05,118.47619047619048
office15_0_164_bout_D,4055,6.50035508e-05,96.54761904761905
office15_0_246_aout_D,5330,0.000101505473,126.9047619047619
office15_0_246_bout_D,4361,4.03553495e-05,103.83333333333333
office15_0_82_aout_D,5457,5.10992031e-05,129.92857142857142
office15_0_82_bout_D,1873,8.78423998e-06,44.595238095238095
office15_360_0_D,4128,1.45264694e-05,98.28571428571429
office15_360_164_aout_D,4433,2.53688486e-05,105.54761904761905
office15_360_164_bout_D,3562,2.50939538e-05,84.80952380952381
office15_360_246_aout_D,5430,2.95563532e-05,129.28571428571428
office15_360_246_bout_D,3223,5.20491158e-05,76.73809523809524
