x,y,z,num_droplets,volume,RoI
0.0,0.2,1.25,0.0,0.0,0.0
0.1,0.2,1.25,0.0,0.0,0.0
0.2,0.2,1.25,0.0,0.0,0.0
0.3,0.2,1.25,0.0,0.0,0.0
0.4,0.2,1.25,0.0,0.0,0.0
0.5,0.2,1.25,0.0,0.0,0.0
0.6,0.2,1.25,0.0,0.0,0.0
0.7,0.2,1.25,0.0,0.0,0.0
0.8,0.2,1.25,0.0,0.0,0.0
0.9,0.2,1.25,0.0,0.0,0.0
1.0,0.2,1.25,0.0,0.0,0.0
1.1,0.2,1.25,0.0,0.0,0.0
1.2,0.2,1.25,0.0,0.0,0.0
1.3,0.2,1.25,0.0,0.0,0.0
1.4,0.2,1.25,0.0,0.0,0.0
1.5,0.2,1.25,0.0,0.0,0.0
1.6,0.2,1.25,0.0,0.0,0.0
1.7,0.2,1.25,0.0,0.0,0.0
1.8,0.2,1.25,0.0,0.0,0.0
1.9,0.2,1.25,0.0,0.0,0.0
2.0,0.2,1.25,0.0,0.0,0.0
2.1,0.2,1.25,0.0,0.0,0.0
2.2,0.2,1.25,0.0,0.0,0.0
2.3,0.2,1.25,0.0,0.0,0.0
2.4,0.2,1.25,0.0,0.0,0.0
2.5,0.2,1.25,0.4,6.375732e-10,0.00042498112
2.6,0.2,1.25,0.2,2.1778441e-09,0.0014508367
2.7,0.2,1.25,0.0,0.0,0.0
2.8,0.2,1.25,0.0,0.0,0.0
2.9,0.2,1.25,0.0,0.0,0.0
3.0,0.2,1.25,0.0,0.0,0.0
3.1,0.2,1.25,0.0,0.0,0.0
3.2,0.2,1.25,0.0,0.0,0.0
3.3,0.2,1.25,0.0,0.0,0.0
3.4,0.2,1.25,0.0,0.0,0.0
3.5,0.2,1.25,0.0,0.0,0.0
3.6,0.2,1.25,0.0,0.0,0.0
3.7,0.2,1.25,0.0,0.0,0.0
3.8,0.2,1.25,0.0,0.0,0.0
3.9,0.2,1.25,0.0,0.0,0.0
4.0,0.2,1.25,0.0,0.0,0.0
4.1,0.2,1.25,0.0,0.0,0.0
4.2,0.2,1.25,0.0,0.0,0.0
4.3,0.2,1.25,0.0,0.0,0.0
4.4,0.2,1.25,0.0,0.0,0.0
4.5,0.2,1.25,0.0,0.0,0.0
4.6,0.2,1.25,0.0,0.0,0.0
4.7,0.2,1.25,0.0,0.0,0.0
4.8,0.2,1.25,0.0,0.0,0.0
4.9,0.2,1.25,0.0,0.0,0.0
5.0,0.2,1.25,0.0,0.0,0.0
5.1,0.2,1.25,0.0,0.0,0.0
5.2,0.2,1.25,0.0,0.0,0.0
5.3,0.2,1.25,0.0,0.0,0.0
5.4,0.2,1.25,0.0,0.0,0.0
5.5,0.2,1.25,0.0,0.0,0.0
5.6,0.2,1.25,0.0,0.0,0.0
5.7,0.2,1.25,0.0,0.0,0.0
5.8,0.2,1.25,0.0,0.0,0.0
5.9,0.2,1.25,0.0,0.0,0.0
6.0,0.2,1.25,0.0,0.0,0.0
6.1,0.2,1.25,0.0,0.0,0.0
6.2,0.2,1.25,0.0,0.0,0.0
6.3,0.2,1.25,0.0,0.0,0.0
6.4,0.2,1.25,0.0,0.0,0.0
6.5,0.2,1.25,0.0,0.0,0.0
6.6,0.2,1.25,0.0,0.0,0.0
6.7,0.2,1.25,0.0,0.0,0.0
6.8,0.2,1.25,0.0,0.0,0.0
6.9,0.2,1.25,0.0,0.0,0.0
0.0,0.3,1.25,0.0,0.0,0.0
0.1,0.3,1.25,0.0,0.0,0.0
0.2,0.3,1.25,0.0,0.0,0.0
0.3,0.3,1.25,0.0,0.0,0.0
0.4,0.3,1.25,0.0,0.0,0.0
0.5,0.3,1.25,0.0,0.0,0.0
0.6,0.3,1.25,0.0,0.0,0.0
0.7,0.3,1.25,0.0,0.0,0.0
0.8,0.3,1.25,0.0,0.0,0.0
0.9,0.3,1.25,0.0,0.0,0.0
1.0,0.3,1.25,0.0,0.0,0.0
1.1,0.3,1.25,0.0,0.0,0.0
1.2,0.3,1.25,0.0,0.0,0.0
1.3,0.3,1.25,0.0,0.0,0.0
1.4,0.3,1.25,0.0,0.0,0.0
1.5,0.3,1.25,0.0,0.0,0.0
1.6,0.3,1.25,0.0,0.0,0.0
1.7,0.3,1.25,0.0,0.0,0.0
1.8,0.3,1.25,0.0,0.0,0.0
1.9,0.3,1.25,0.0,0.0,0.0
2.0,0.3,1.25,0.0,0.0,0.0
2.1,0.3,1.25,0.0,0.0,0.0
2.2,0.3,1.25,0.0,0.0,0.0
2.3,0.3,1.25,0.0,0.0,0.0
2.4,0.3,1.25,0.0,0.0,0.0
2.5,0.3,1.25,0.8,7.167412e-10,0.00047773123
2.6,0.3,1.25,0.6,2.330526e-09,0.0015524626
2.7,0.3,1.25,0.4,1.526814e-10,0.00010180473
2.8,0.3,1.25,0.0,0.0,0.0
2.9,0.3,1.25,0.0,0.0,0.0
3.0,0.3,1.25,0.0,0.0,0.0
3.1,0.3,1.25,0.0,0.0,0.0
3.2,0.3,1.25,0.0,0.0,0.0
3.3,0.3,1.25,0.0,0.0,0.0
3.4,0.3,1.25,0.0,0.0,0.0
3.5,0.3,1.25,0.0,0.0,0.0
3.6,0.3,1.25,0.0,0.0,0.0
3.7,0.3,1.25,0.0,0.0,0.0
3.8,0.3,1.25,0.0,0.0,0.0
3.9,0.3,1.25,0.0,0.0,0.0
4.0,0.3,1.25,0.0,0.0,0.0
4.1,0.3,1.25,0.0,0.0,0.0
4.2,0.3,1.25,0.0,0.0,0.0
4.3,0.3,1.25,0.0,0.0,0.0
4.4,0.3,1.25,0.0,0.0,0.0
4.5,0.3,1.25,0.0,0.0,0.0
4.6,0.3,1.25,0.0,0.0,0.0
4.7,0.3,1.25,0.0,0.0,0.0
4.8,0.3,1.25,0.0,0.0,0.0
4.9,0.3,1.25,0.0,0.0,0.0
5.0,0.3,1.25,0.0,0.0,0.0
5.1,0.3,1.25,0.0,0.0,0.0
5.2,0.3,1.25,0.0,0.0,0.0
5.3,0.3,1.25,0.0,0.0,0.0
5.4,0.3,1.25,0.0,0.0,0.0
5.5,0.3,1.25,0.0,0.0,0.0
5.6,0.3,1.25,0.0,0.0,0.0
5.7,0.3,1.25,0.0,0.0,0.0
5.8,0.3,1.25,0.0,0.0,0.0
5.9,0.3,1.25,0.0,0.0,0.0
6.0,0.3,1.25,0.0,0.0,0.0
6.1,0.3,1.25,0.0,0.0,0.0
6.2,0.3,1.25,0.0,0.0,0.0
6.3,0.3,1.25,0.0,0.0,0.0
6.4,0.3,1.25,0.0,0.0,0.0
6.5,0.3,1.25,0.0,0.0,0.0
6.6,0.3,1.25,0.0,0.0,0.0
6.7,0.3,1.25,0.0,0.0,0.0
6.8,0.3,1.25,0.0,0.0,0.0
6.9,0.3,1.25,0.0,0.0,0.0
0.0,0.4,1.25,0.0,0.0,0.0
0.1,0.4,1.25,0.0,0.0,0.0
0.2,0.4,1.25,0.0,0.0,0.0
0.3,0.4,1.25,0.0,0.0,0.0
0.4,0.4,1.25,0.0,0.0,0.0
0.5,0.4,1.25,0.0,0.0,0.0
0.6,0.4,1.25,0.0,0.0,0.0
0.7,0.4,1.25,0.0,0.0,0.0
0.8,0.4,1.25,0.0,0.0,0.0
0.9,0.4,1.25,0.0,0.0,0.0
1.0,0.4,1.25,0.0,0.0,0.0
1.1,0.4,1.25,0.0,0.0,0.0
1.2,0.4,1.25,0.0,0.0,0.0
1.3,0.4,1.25,0.0,0.0,0.0
1.4,0.4,1.25,0.0,0.0,0.0
1.5,0.4,1.25,0.0,0.0,0.0
1.6,0.4,1.25,0.0,0.0,0.0
1.7,0.4,1.25,0.0,0.0,0.0
1.8,0.4,1.25,0.0,0.0,0.0
1.9,0.4,1.25,0.0,0.0,0.0
2.0,0.4,1.25,0.0,0.0,0.0
2.1,0.4,1.25,0.0,0.0,0.0
2.2,0.4,1.25,0.0,0.0,0.0
2.3,0.4,1.25,0.0,0.0,0.0
2.4,0.4,1.25,0.0,0.0,0.0
2.5,0.4,1.25,0.0,0.0,0.0
2.6,0.4,1.25,0.0,0.0,0.0
2.7,0.4,1.25,0.0,0.0,0.0
2.8,0.4,1.25,0.0,0.0,0.0
2.9,0.4,1.25,0.0,0.0,0.0
3.0,0.4,1.25,0.0,0.0,0.0
3.1,0.4,1.25,0.0,0.0,0.0
3.2,0.4,1.25,0.0,0.0,0.0
3.3,0.4,1.25,0.0,0.0,0.0
3.4,0.4,1.25,0.0,0.0,0.0
3.5,0.4,1.25,0.0,0.0,0.0
3.6,0.4,1.25,0.0,0.0,0.0
3.7,0.4,1.25,0.0,0.0,0.0
3.8,0.4,1.25,0.0,0.0,0.0
3.9,0.4,1.25,0.0,0.0,0.0
4.0,0.4,1.25,0.0,0.0,0.0
4.1,0.4,1.25,0.0,0.0,0.0
4.2,0.4,1.25,0.0,0.0,0.0
4.3,0.4,1.25,0.0,0.0,0.0
4.4,0.4,1.25,0.0,0.0,0.0
4.5,0.4,1.25,0.0,0.0,0.0
4.6,0.4,1.25,0.0,0.0,0.0
4.7,0.4,1.25,0.0,0.0,0.0
4.8,0.4,1.25,0.0,0.0,0.0
4.9,0.4,1.25,0.0,0.0,0.0
5.0,0.4,1.25,0.0,0.0,0.0
5.1,0.4,1.25,0.0,0.0,0.0
5.2,0.4,1.25,0.0,0.0,0.0
5.3,0.4,1.25,0.0,0.0,0.0
5.4,0.4,1.25,0.0,0.0,0.0
5.5,0.4,1.25,0.0,0.0,0.0
5.6,0.4,1.25,0.0,0.0,0.0
5.7,0.4,1.25,0.0,0.0,0.0
5.8,0.4,1.25,0.0,0.0,0.0
5.9,0.4,1.25,0.0,0.0,0.0
6.0,0.4,1.25,0.0,0.0,0.0
6.1,0.4,1.25,0.0,0.0,0.0
6.2,0.4,1.25,0.0,0.0,0.0
6.3,0.4,1.25,0.0,0.0,0.0
6.4,0.4,1.25,0.0,0.0,0.0
6.5,0.4,1.25,0.0,0.0,0.0
6.6,0.4,1.25,0.0,0.0,0.0
6.7,0.4,1.25,0.0,0.0,0.0
6.8,0.4,1.25,0.0,0.0,0.0
6.9,0.4,1.25,0.0,0.0,0.0
0.0,0.5,1.25,0.0,0.0,0.0
0.1,0.5,1.25,0.0,0.0,0.0
0.2,0.5,1.25,0.0,0.0,0.0
0.3,0.5,1.25,0.0,0.0,0.0
0.4,0.5,1.25,0.0,0.0,0.0
0.5,0.5,1.25,0.0,0.0,0.0
0.6,0.5,1.25,0.0,0.0,0.0
0.7,0.5,1.25,0.0,0.0,0.0
0.8,0.5,1.25,0.0,0.0,0.0
0.9,0.5,1.25,0.0,0.0,0.0
1.0,0.5,1.25,0.0,0.0,0.0
1.1,0.5,1.25,0.0,0.0,0.0
1.2,0.5,1.25,0.0,0.0,0.0
1.3,0.5,1.25,0.0,0.0,0.0
1.4,0.5,1.25,0.0,0.0,0.0
1.5,0.5,1.25,0.0,0.0,0.0
1.6,0.5,1.25,0.0,0.0,0.0
1.7,0.5,1.25,0.0,0.0,0.0
1.8,0.5,1.25,0.0,0.0,0.0
1.9,0.5,1.25,0.0,0.0,0.0
2.0,0.5,1.25,0.0,0.0,0.0
2.1,0.5,1.25,0.0,0.0,0.0
2.2,0.5,1.25,0.0,0.0,0.0
2.3,0.5,1.25,0.0,0.0,0.0
2.4,0.5,1.25,0.0,0.0,0.0
2.5,0.5,1.25,0.0,0.0,0.0
2.6,0.5,1.25,0.0,0.0,0.0
2.7,0.5,1.25,0.0,0.0,0.0
2.8,0.5,1.25,0.0,0.0,0.0
2.9,0.5,1.25,0.0,0.0,0.0
3.0,0.5,1.25,0.0,0.0,0.0
3.1,0.5,1.25,0.0,0.0,0.0
3.2,0.5,1.25,0.0,0.0,0.0
3.3,0.5,1.25,0.0,0.0,0.0
3.4,0.5,1.25,0.0,0.0,0.0
3.5,0.5,1.25,0.0,0.0,0.0
3.6,0.5,1.25,0.0,0.0,0.0
3.7,0.5,1.25,0.0,0.0,0.0
3.8,0.5,1.25,0.0,0.0,0.0
3.9,0.5,1.25,0.0,0.0,0.0
4.0,0.5,1.25,0.0,0.0,0.0
4.1,0.5,1.25,0.0,0.0,0.0
4.2,0.5,1.25,0.0,0.0,0.0
4.3,0.5,1.25,0.0,0.0,0.0
4.4,0.5,1.25,0.0,0.0,0.0
4.5,0.5,1.25,0.0,0.0,0.0
4.6,0.5,1.25,0.0,0.0,0.0
4.7,0.5,1.25,0.0,0.0,0.0
4.8,0.5,1.25,0.0,0.0,0.0
4.9,0.5,1.25,0.0,0.0,0.0
5.0,0.5,1.25,0.0,0.0,0.0
5.1,0.5,1.25,0.0,0.0,0.0
5.2,0.5,1.25,0.0,0.0,0.0
5.3,0.5,1.25,0.0,0.0,0.0
5.4,0.5,1.25,0.0,0.0,0.0
5.5,0.5,1.25,0.0,0.0,0.0
5.6,0.5,1.25,0.0,0.0,0.0
5.7,0.5,1.25,0.0,0.0,0.0
5.8,0.5,1.25,0.0,0.0,0.0
5.9,0.5,1.25,0.0,0.0,0.0
6.0,0.5,1.25,0.0,0.0,0.0
6.1,0.5,1.25,0.0,0.0,0.0
6.2,0.5,1.25,0.0,0.0,0.0
6.3,0.5,1.25,0.0,0.0,0.0
6.4,0.5,1.25,0.0,0.0,0.0
6.5,0.5,1.25,0.0,0.0,0.0
6.6,0.5,1.25,0.0,0.0,0.0
6.7,0.5,1.25,0.0,0.0,0.0
6.8,0.5,1.25,0.0,0.0,0.0
6.9,0.5,1.25,0.0,0.0,0.0
0.0,0.6,1.25,0.0,0.0,0.0
0.1,0.6,1.25,0.0,0.0,0.0
0.2,0.6,1.25,0.0,0.0,0.0
0.3,0.6,1.25,0.0,0.0,0.0
0.4,0.6,1.25,0.0,0.0,0.0
0.5,0.6,1.25,0.0,0.0,0.0
0.6,0.6,1.25,0.0,0.0,0.0
0.7,0.6,1.25,0.0,0.0,0.0
0.8,0.6,1.25,0.0,0.0,0.0
0.9,0.6,1.25,0.0,0.0,0.0
1.0,0.6,1.25,0.0,0.0,0.0
1.1,0.6,1.25,0.0,0.0,0.0
1.2,0.6,1.25,0.0,0.0,0.0
1.3,0.6,1.25,0.0,0.0,0.0
1.4,0.6,1.25,0.0,0.0,0.0
1.5,0.6,1.25,0.0,0.0,0.0
1.6,0.6,1.25,0.0,0.0,0.0
1.7,0.6,1.25,0.0,0.0,0.0
1.8,0.6,1.25,0.0,0.0,0.0
1.9,0.6,1.25,0.0,0.0,0.0
2.0,0.6,1.25,0.0,0.0,0.0
2.1,0.6,1.25,0.0,0.0,0.0
2.2,0.6,1.25,0.0,0.0,0.0
2.3,0.6,1.25,0.0,0.0,0.0
2.4,0.6,1.25,0.0,0.0,0.0
2.5,0.6,1.25,0.0,0.0,0.0
2.6,0.6,1.25,0.0,0.0,0.0
2.7,0.6,1.25,0.0,0.0,0.0
2.8,0.6,1.25,0.0,0.0,0.0
2.9,0.6,1.25,0.0,0.0,0.0
3.0,0.6,1.25,0.0,0.0,0.0
3.1,0.6,1.25,0.0,0.0,0.0
3.2,0.6,1.25,0.0,0.0,0.0
3.3,0.6,1.25,0.0,0.0,0.0
3.4,0.6,1.25,0.0,0.0,0.0
3.5,0.6,1.25,0.0,0.0,0.0
3.6,0.6,1.25,0.0,0.0,0.0
3.7,0.6,1.25,0.0,0.0,0.0
3.8,0.6,1.25,0.0,0.0,0.0
3.9,0.6,1.25,0.0,0.0,0.0
4.0,0.6,1.25,0.0,0.0,0.0
4.1,0.6,1.25,0.0,0.0,0.0
4.2,0.6,1.25,0.0,0.0,0.0
4.3,0.6,1.25,0.0,0.0,0.0
4.4,0.6,1.25,0.0,0.0,0.0
4.5,0.6,1.25,0.0,0.0,0.0
4.6,0.6,1.25,0.0,0.0,0.0
4.7,0.6,1.25,0.0,0.0,0.0
4.8,0.6,1.25,0.0,0.0,0.0
4.9,0.6,1.25,0.0,0.0,0.0
5.0,0.6,1.25,0.0,0.0,0.0
5.1,0.6,1.25,0.0,0.0,0.0
5.2,0.6,1.25,0.0,0.0,0.0
5.3,0.6,1.25,0.0,0.0,0.0
5.4,0.6,1.25,0.0,0.0,0.0
5.5,0.6,1.25,0.0,0.0,0.0
5.6,0.6,1.25,0.0,0.0,0.0
5.7,0.6,1.25,0.0,0.0,0.0
5.8,0.6,1.25,0.0,0.0,0.0
5.9,0.6,1.25,0.0,0.0,0.0
6.0,0.6,1.25,0.0,0.0,0.0
6.1,0.6,1.25,0.0,0.0,0.0
6.2,0.6,1.25,0.0,0.0,0.0
6.3,0.6,1.25,0.0,0.0,0.0
6.4,0.6,1.25,0.0,0.0,0.0
6.5,0.6,1.25,0.0,0.0,0.0
6.6,0.6,1.25,0.0,0.0,0.0
6.7,0.6,1.25,0.0,0.0,0.0
6.8,0.6,1.25,0.0,0.0,0.0
6.9,0.6,1.25,0.0,0.0,0.0
0.0,0.7,1.25,0.0,0.0,0.0
0.1,0.7,1.25,0.0,0.0,0.0
0.2,0.7,1.25,0.0,0.0,0.0
0.3,0.7,1.25,0.0,0.0,0.0
0.4,0.7,1.25,0.0,0.0,0.0
0.5,0.7,1.25,0.0,0.0,0.0
0.6,0.7,1.25,0.0,0.0,0.0
0.7,0.7,1.25,0.0,0.0,0.0
0.8,0.7,1.25,0.0,0.0,0.0
0.9,0.7,1.25,0.0,0.0,0.0
1.0,0.7,1.25,0.0,0.0,0.0
1.1,0.7,1.25,0.0,0.0,0.0
1.2,0.7,1.25,0.0,0.0,0.0
1.3,0.7,1.25,0.0,0.0,0.0
1.4,0.7,1.25,0.0,0.0,0.0
1.5,0.7,1.25,0.0,0.0,0.0
1.6,0.7,1.25,0.0,0.0,0.0
1.7,0.7,1.25,0.0,0.0,0.0
1.8,0.7,1.25,0.0,0.0,0.0
1.9,0.7,1.25,0.0,0.0,0.0
2.0,0.7,1.25,0.0,0.0,0.0
2.1,0.7,1.25,0.0,0.0,0.0
2.2,0.7,1.25,0.0,0.0,0.0
2.3,0.7,1.25,0.0,0.0,0.0
2.4,0.7,1.25,0.0,0.0,0.0
2.5,0.7,1.25,0.0,0.0,0.0
2.6,0.7,1.25,0.0,0.0,0.0
2.7,0.7,1.25,0.0,0.0,0.0
2.8,0.7,1.25,0.0,0.0,0.0
2.9,0.7,1.25,0.0,0.0,0.0
3.0,0.7,1.25,0.0,0.0,0.0
3.1,0.7,1.25,0.0,0.0,0.0
3.2,0.7,1.25,0.0,0.0,0.0
3.3,0.7,1.25,0.0,0.0,0.0
3.4,0.7,1.25,0.0,0.0,0.0
3.5,0.7,1.25,0.0,0.0,0.0
3.6,0.7,1.25,0.0,0.0,0.0
3.7,0.7,1.25,0.0,0.0,0.0
3.8,0.7,1.25,0.0,0.0,0.0
3.9,0.7,1.25,0.0,0.0,0.0
4.0,0.7,1.25,0.0,0.0,0.0
4.1,0.7,1.25,0.0,0.0,0.0
4.2,0.7,1.25,0.0,0.0,0.0
4.3,0.7,1.25,0.0,0.0,0.0
4.4,0.7,1.25,0.2,7.63407e-11,5.0902367e-05
4.5,0.7,1.25,0.8,8.500406e-11,5.6684017e-05
4.6,0.7,1.25,0.6,2.330526e-09,0.0015524626
4.7,0.7,1.25,0.0,0.0,0.0
4.8,0.7,1.25,0.0,0.0,0.0
4.9,0.7,1.25,0.0,0.0,0.0
5.0,0.7,1.25,0.0,0.0,0.0
5.1,0.7,1.25,0.0,0.0,0.0
5.2,0.7,1.25,0.0,0.0,0.0
5.3,0.7,1.25,0.0,0.0,0.0
5.4,0.7,1.25,0.0,0.0,0.0
5.5,0.7,1.25,0.0,0.0,0.0
5.6,0.7,1.25,0.0,0.0,0.0
5.7,0.7,1.25,0.0,0.0,0.0
5.8,0.7,1.25,0.0,0.0,0.0
5.9,0.7,1.25,0.0,0.0,0.0
6.0,0.7,1.25,0.0,0.0,0.0
6.1,0.7,1.25,0.0,0.0,0.0
6.2,0.7,1.25,0.0,0.0,0.0
6.3,0.7,1.25,0.0,0.0,0.0
6.4,0.7,1.25,0.0,0.0,0.0
6.5,0.7,1.25,0.0,0.0,0.0
6.6,0.7,1.25,0.0,0.0,0.0
6.7,0.7,1.25,0.0,0.0,0.0
6.8,0.7,1.25,0.0,0.0,0.0
6.9,0.7,1.25,0.0,0.0,0.0
0.0,0.8,1.25,0.0,0.0,0.0
0.1,0.8,1.25,0.0,0.0,0.0
0.2,0.8,1.25,0.0,0.0,0.0
0.3,0.8,1.25,0.0,0.0,0.0
0.4,0.8,1.25,0.0,0.0,0.0
0.5,0.8,1.25,0.0,0.0,0.0
0.6,0.8,1.25,0.0,0.0,0.0
0.7,0.8,1.25,0.0,0.0,0.0
0.8,0.8,1.25,0.0,0.0,0.0
0.9,0.8,1.25,0.0,0.0,0.0
1.0,0.8,1.25,0.0,0.0,0.0
1.1,0.8,1.25,0.0,0.0,0.0
1.2,0.8,1.25,0.0,0.0,0.0
1.3,0.8,1.25,0.0,0.0,0.0
1.4,0.8,1.25,0.0,0.0,0.0
1.5,0.8,1.25,0.0,0.0,0.0
1.6,0.8,1.25,0.0,0.0,0.0
1.7,0.8,1.25,0.0,0.0,0.0
